id;name;points
6665;Astralis;1000
4608;Natus Vincere;791
5973;Liquid;494
6667;FaZe;462
4494;mousesports;369
7532;BIG;322
9215;MIBR;263
4991;fnatic;262
6673;NRG;259
7533;North;182
5995;G2;168
4863;TYLOO;163
4869;ENCE;152
4411;NiP;147
6615;OpTic;138
5310;HellRaisers;131
6211;Renegades;129
6651;Gambit;114
5752;Cloud9;106
5378;Virtus.pro;93
5005;compLexity;77
5929;Space Soldiers;76
8068;AGO;76
7613;Red Reserve;74
7701;Imperial;71
8637;Sprout;71
6855;Fragsters;66
6290;Luminosity;64
7157;Rogue;64
7175;Heroic;63
